title,roku_compound,roku_sentiment
"How to cancel your account at Netflix, Amazon Prime, and others",-0.0772,-1.0
"At CES 2021, TCL put all other TV makers on notice: We’re just getting started",0.0,0.0
Everything to know about Discovery+,0.0,0.0
How the Xbox’s default “instant on” feature could harm the environment,-0.5423,-1.0
What Must Roku Do To Justify Its Lofty Share Price? Here’s An Idea,0.296,1.0
"Got $1,000? Here Are 3 Stocks to Consider Buying Right Now",0.0,0.0
How to Stream “The Office”,0.0,0.0
Roku's UI?,0.0,0.0
Palantir Soars on Reports ARK Next Gen ETF Bought Shares,0.296,1.0
How to Watch ‘WandaVision’ Online: Stream the Marvel Series Now on Disney+,0.4215,1.0
Is Palantir Set to Break Out and Retest Highs?,0.0,0.0
Costco offering 65-inch Series 4 TCL TV for $90 off,0.0,0.0
TCL's massive 85-inch Roku TV costs less than you think,0.0,0.0
Samsung’s Peacock Standoff with NBCUniversal Shows Power of TV Makers,0.0,0.0
Roku Rescues Quibi’s Content; OpenAP Launches SSP for TV,0.3182,1.0
Denon announces the Home Sound Bar 550 with AirPlay 2 support,0.4019,1.0
"Best live TV streaming service for cord cutters: YouTube TV, Hulu, Sling TV and more compared - CNET",0.6369,1.0
Dungeons & Dragons rolls a new live action series from John Wick creator,0.0,0.0
"Disney Plus UK: price, app and how to watch Soul and WandaVision on your TV",0.0,0.0
All of the latest HomeKit and AirPlay accessories announced during CES week,0.0,0.0
"Denon Introduces New Sound Bar With Dolby Atmos, AirPlay 2 Support, and More",0.4019,1.0
Why Is Roku Buying Video Content?,0.0,0.0
This top-rated soundbar and wireless sub bundle is down to $110 at Amazon,0.1779,1.0
How to watch Sri Lanka vs England: Live stream 1st Test cricket online,0.0,0.0
How to watch Australia vs Indias: Live stream 4th Test cricket online,0.0,0.0
How to cancel a Funimation subscription according to the method you used to sign up,-0.25,-1.0
Steps and Tips to Activate PBS on Roku,0.0,0.0
The Best 4K TVs,0.6369,1.0
2 Virginia officers charged after allegedly storming Capitol,-0.2023,-1.0
Philco and Roku Launch Philco Roku TV Lineup in Brazil,0.0,0.0
Rittenhouse flashed white power signs while out with Proud Boys at bar,0.4767,1.0
HBO Max Extends 22% Discount Offer Through March,0.128,1.0
Will TCL's newest 6-Series TV make 8K affordable?,0.0,0.0
Put the pep back into your step with highly-spirited cheerleader porn,0.2263,1.0
"‘It’s go time’: Revolt to debut ad-supported streamer focused on Black culture, social justice in Q1",0.7184,1.0
"2x Roku Gin (+ Free 4x Fentimans Connoisseur Tonic, 2x Cans of Beefeater Pink Strawberry Gin & Soda) $98.28 Delivered @ Boozebud",0.5106,1.0
ViacomCBS Is Finding Success in Streaming,0.5719,1.0
"Stars Of ABC’s ‘All My Children’, ‘One Life To Live’ & ‘General Hospital’ Reunite For Streaming Concert Benefit",0.4588,1.0
"Roku, Philco announce new partnership to bring TV models to Brazil",0.0,0.0
Hisense 65″ 4K UHD Smart Android TV Only $429.99 Shipped on BestBuy.com (Regularly $500),0.4019,1.0
AT&T's cord-cutting TV Now service is no longer accepting signups,0.1027,1.0
"Apple’s latest iPad Air highlight’s today’s best deals, plus Apple Watch bands on sale, more",0.6369,1.0
"Google TV is the new Android TV, coming to Sony smart TVs this year - CNET",0.4019,1.0
"Roku Didn’t Buy Quibi’s Turnstyle Technology, Which Is Still Embroiled in a Legal Fight",-0.2732,-1.0
Cori Bush slams GOP colleagues who refused metal detectors,-0.296,-1.0
Rep. Al Green reacts to praise for early call to impeach Trump in 2019,0.5574,1.0
Roku Stick Overheating- How to fix Roku Streaming Stick Overheating,0.0,0.0
There Is Only One Roku,0.0,0.0
Steps To Activate Showtime On Roku Easily,0.34,1.0
Live stream PSG vs Marseille: How to watch the Trophée des Champions online,0.5267,1.0
Ayanna Pressley’s panic buttons ‘torn out’ from Congressional office,-0.5106,-1.0
"Deals: Pixel 5 BOGO free, Samsung Galaxy Tab A7 $230, more",0.5106,1.0
The best TV announcements at CES 2021,0.6369,1.0
Amazon’s surprise sale gets you a Fire TV Stick Lite for just $25,-0.0772,-1.0
Future of TV Briefing: The ad-supported streaming war officially kicks off in 2021,-0.5994,-1.0
