ticker,date,time,title,compound
ROKU,2021-01-22,02:10PM  ,Magnite (MGNI) Extends Rally After Price Target Boost,0.4939
ROKU,2021-01-21,05:51PM  ,Netflix Joins Ranks Of Stocks With 95-Plus Composite Rating,0.0
ROKU,2021-01-20,06:44AM  ,Why Netflix stock is going haywire after its latest earnings report,0.0
ROKU,2021-01-19,01:55PM  ,Why Roku Could Still Have 'Significant' Advertising Growth Ahead,0.3818
ROKU,2021-01-19,11:47AM  ,Roku (ROKU) Makes Highs on Bullish JPMorgan Initiation,0.0
ROKU,2021-01-15,12:49PM  ,Netflix to release new movies every week in 2021,0.0
ROKU,2021-01-15,12:03PM  ,4 Perfect Stocks to Start Your Retirement Portfolio,0.5719
ROKU,2021-01-15,05:56AM  ,Spotify's Podcast Bet Driving Little  Growth: Citi,0.3197
ROKU,2021-01-14,12:08PM  ,ViacomCBS CFO: streaming is a huge priority for us,0.3182
ROKU,2021-01-14,11:02AM  ,Netflix earnings outlook: 'we've never seen numbers this high: Rosenblatt's McTernan,0.0
ROKU,2021-01-14,07:00AM  ,Philco and Roku Launch Philco Roku TV Lineup in Brazil,0.0
ROKU,2021-01-13,04:01PM  ,"Cinemark Projects Strength, Hitting 80-Plus RS Rating",0.4939
ROKU,2021-01-12,11:01AM  ,"Roku Is Gaining Leverage, Analyst Says",0.4215
ROKU,2021-01-12,10:55AM  ,Why it's time to avoid work from home stocks,-0.296
ROKU,2021-01-11,10:28AM  ,Roku Stock Has Soared. Citigroup Sees New Heights Ahead.,0.0
ROKU,2021-01-10,04:38AM  ,Roku or Zoom: Which is the Better Tech Pick in 2021?,0.4404
ROKU,2021-01-08,04:25PM  ,Roku Stock Rises As Streaming Video Platform Acquires Quibi Shows,0.0
ROKU,2021-01-08,03:58PM  ,"Dominion sues Trump Lawyer Powell for defamation, Roku to buy Quibi's TV show",0.0
ROKU,2021-01-08,02:36PM  ,Roku Is Buying Quibis Content. The Deal Could Prove to Be a Bargain.,0.2023
ROKU,2021-01-08,10:38AM  ,Roku Buys Quibi's Content Distribution Rights,0.0
ROKU,2021-01-08,10:02AM  ,Roku Buys Quibis Library to Boost Free Streaming Service,0.7184
ROKU,2021-01-08,09:43AM  ,Roku stock gains after company confirms deal for Quibi catalog,0.34
ROKU,2021-01-08,09:20AM  ,Roku Acquires Quibis Global Content Distribution Rights,0.0
ROKU,2021-01-08,09:01AM  ,Roku TV Is No. 1 Selling Smart TV Operating System (OS) in U.S. and Canada,0.128
ROKU,2021-01-07,03:42PM  ,Roku stock rockets toward new record after Needham boosts price target,0.3182
ROKU,2021-01-07,02:47PM  ,Roku Stock Is Climbing Because It Won Streaming,0.5719
ROKU,2021-01-07,10:44AM  ,Roku Hits All-Time High After Strong Metrics,0.5106
ROKU,2021-01-07,10:30AM  ,"Spruce Point Capital Management Releases Report and Strong Sell Research Opinion on Magnite, Inc (NASDAQ: MGNI)",0.5106
ROKU,2021-01-06,04:19PM  ,Roku Blows Past 50 Million Active Users As Cord Cutting Accelerates,0.296
ROKU,2021-01-06,02:17PM  ,"Roku Hits 50M Active Account Milestone; CEO Talks Competition, Strategy",0.4019
ROKU,2021-01-06,12:50PM  ,People are embracing streaming now more than ever: Roku CFO,0.0
ROKU,2021-01-06,09:57AM  ,Roku says its active account metric has topped 50 million for the first time,0.4019
ROKU,2021-01-06,09:00AM  ,Roku Surpasses 50 Million Active Accounts; Users Streamed 58.7 Billion Hours in 2020,0.4019
ROKU,2021-01-05,07:42AM  ,Roku Rallies on Street-High Price Target as Quibi Talks Underway,0.0
ROKU,2021-01-04,08:03PM  ,"Quibi Nears Deal With Roku After Trying to Tempt Facebook, Snap",0.0
ROKU,2021-01-04,04:30PM  ,Roku Chief Financial Officer to Present at Citis 2021 Global TMT West Virtual Conference,0.0
ROKU,2021-01-04,01:09PM  ,New ETF Focuses on MarTech and AdTech with the launch of SmartETFs Advertising & Marketing Technology ETF,0.0
ROKU,2021-01-04,12:29PM  ,Roku May Buy Quibi Content. What That Could Mean for Rokus Stock.,0.0
ROKU,2021-01-04,10:37AM  ,Roku nears deal to buy rights to Quibis content: WSJ,0.0
ROKU,2021-01-01,02:42PM  ,10 Best Stocks To Buy and Hold For 5 Years According To ARKs Cathie Wood,0.6369
ROKU,2020-12-31,02:35PM  ,The movie industry will strengthen again around April or May: Screenvision CEO,0.3182
ROKU,2020-12-31,12:43PM  ,Will movie theaters survive post-pandemic?,0.0
ROKU,2020-12-31,05:12AM  ,Hibernating Consumers Splurge On Home Entertainment Gadgets And Content,0.4215
ROKU,2020-12-31,05:00AM  ,The Best Stock Picker of 2020 Wins With Disruptive DNA,0.765
ROKU,2020-12-30,12:04PM  ,The consumer is really the winner here: Mark Boidman on streaming,0.6222
ROKU,2020-12-23,01:07PM  ,The Best Stocks to Buy for the Generation Z Revolution,0.6369
ROKU,2020-12-23,08:29AM  ,Netflixs Reed Hastings Collects $225 Million in Stock Sale,0.0
ROKU,2020-12-22,01:28PM  ,Top 4 Mutual Fund Holders of Roku Inc. (ROKU),0.2023
ROKU,2020-12-18,09:47AM  ,"Company News for Dec 18, 2020",0.0
ROKU,2020-12-17,07:34PM  ,How Roku Stock Can Soar Even Higher After HBO Max Deal,0.0
ROKU,2020-12-17,04:26PM  ,Roku Stock Gets Maximum Benefit From HBO Max Carriage Deal,0.4588
ROKU,2020-12-17,12:15PM  ,"Roku Surges To All-Time High After HBO Max Deal, Stock Gets New Street-High Price Target",0.0
ROKU,2020-12-17,12:02PM  ,Roku target lifted to a Street-high $410 after HBO Max deal,0.0
ROKU,2020-12-17,12:01PM  ,"Dow Jones Rallies Amid Stimulus Hopes; Bitcoin Surges Above $23,000, While Roku Jumps On Streaming Deal",0.4215
ROKU,2020-12-17,09:43AM  ,Roku Jumps After Reaching Deal With AT&T to Carry HBO Max,0.2023
ROKU,2020-12-17,08:19AM  ,"Dow Jones Futures Signal Stock Market Rally On Stimulus Deal Buzz; Bitcoin, Roku Jump; Amazon, Shopify In Buy Range",0.1779
ROKU,2020-12-17,07:52AM  ,HBO Max Is Finally Coming to Roku. The Stock Is Rising.,0.0
ROKU,2020-12-17,01:39AM  ,HBO Max To Be Available On Roku Starting Today,0.0
ROKU,2020-12-16,05:25PM  ,Roku Reaches Deal To Carry HBO Max Before 'Wonder Woman 1984' Premiere,0.0516
ROKU,2020-12-16,04:50PM  ,HBO Max to Launch December 17 on Roku Devices,0.0
ROKU,2020-12-16,12:29PM  ,"Apple Adds TV Service to Google Chromecast, Continuing Expansion",0.0
ROKU,2020-12-16,03:10AM  ,"Roku, Inc.'s (NASDAQ:ROKU) Profit Outlook",0.4404
ROKU,2020-12-15,09:34AM  ,Roku (ROKU) Could Hit $500 in 2021,0.0
